frame,gt,pred_det,pred_queue,weather
j17_2026-01-02_noon_3way_clear_aggressive_metro_f000320.jpg,0,0,0,clear
j17_2026-01-02_noon_3way_clear_aggressive_metro_f000321.jpg,0,0,0,clear
j17_2026-01-02_noon_3way_clear_aggressive_metro_f000322.jpg,1,0,0,clear
j17_2026-01-02_noon_3way_clear_aggressive_metro_f000323.jpg,1,0,0,clear
j17_2026-01-02_noon_3way_clear_aggressive_metro_f000324.jpg,1,0,0,clear
j17_2026-01-02_noon_3way_clear_aggressive_metro_f000325.jpg,1,0,0,clear
j17_2026-01-02_noon_3way_clear_aggressive_metro_f000326.jpg,1,0,0,clear
j17_2026-01-02_noon_3way_clear_aggressive_metro_f000327.jpg,1,0,0,clear
j17_2026-01-02_noon_3way_clear_disciplined_f000096.jpg,0,0,0,clear
j17_2026-01-02_noon_3way_clear_disciplined_f000097.jpg,0,0,0,clear
j17_2026-01-02_noon_3way_clear_disciplined_f000098.jpg,1,0,0,clear
j17_2026-01-02_noon_3way_clear_disciplined_f000099.jpg,1,0,0,clear
j17_2026-01-02_noon_3way_clear_disciplined_f000100.jpg,1,0,0,clear
j17_2026-01-02_noon_3way_clear_disciplined_f000101.jpg,1,0,0,clear
j17_2026-01-02_noon_3way_clear_disciplined_f000102.jpg,1,0,0,clear
j17_2026-01-02_noon_3way_clear_disciplined_f000103.jpg,1,0,0,clear
j17_2026-01-02_noon_3way_clear_typical_urban_f000208.jpg,0,0,0,clear
j17_2026-01-02_noon_3way_clear_typical_urban_f000209.jpg,0,0,0,clear
j17_2026-01-02_noon_3way_clear_typical_urban_f000210.jpg,0,0,0,clear
j17_2026-01-02_noon_3way_clear_typical_urban_f000211.jpg,0,0,0,clear
j17_2026-01-02_noon_3way_clear_typical_urban_f000212.jpg,0,0,0,clear
j17_2026-01-02_noon_3way_clear_typical_urban_f000213.jpg,0,0,0,clear
j17_2026-01-02_noon_3way_clear_typical_urban_f000214.jpg,0,0,0,clear
j17_2026-01-02_noon_3way_clear_typical_urban_f000215.jpg,0,0,0,clear
j17_2026-01-02_noon_3way_heavy_monsoon_aggressive_metro_f000992.jpg,0,0,0,heavy_monsoon
j17_2026-01-02_noon_3way_heavy_monsoon_aggressive_metro_f000993.jpg,0,0,0,heavy_monsoon
j17_2026-01-02_noon_3way_heavy_monsoon_aggressive_metro_f000994.jpg,0,0,0,heavy_monsoon
j17_2026-01-02_noon_3way_heavy_monsoon_aggressive_metro_f000995.jpg,0,0,0,heavy_monsoon
j17_2026-01-02_noon_3way_heavy_monsoon_aggressive_metro_f000996.jpg,0,0,0,heavy_monsoon
j17_2026-01-02_noon_3way_heavy_monsoon_aggressive_metro_f000997.jpg,0,0,0,heavy_monsoon
j17_2026-01-02_noon_3way_heavy_monsoon_aggressive_metro_f000998.jpg,0,0,0,heavy_monsoon
j17_2026-01-02_noon_3way_heavy_monsoon_aggressive_metro_f000999.jpg,0,0,0,heavy_monsoon
j17_2026-01-02_noon_3way_heavy_monsoon_disciplined_f000768.jpg,0,0,0,heavy_monsoon
j17_2026-01-02_noon_3way_heavy_monsoon_disciplined_f000769.jpg,0,0,0,heavy_monsoon
j17_2026-01-02_noon_3way_heavy_monsoon_disciplined_f000770.jpg,0,0,0,heavy_monsoon
j17_2026-01-02_noon_3way_heavy_monsoon_disciplined_f000771.jpg,0,0,0,heavy_monsoon
j17_2026-01-02_noon_3way_heavy_monsoon_disciplined_f000772.jpg,0,0,0,heavy_monsoon
j17_2026-01-02_noon_3way_heavy_monsoon_disciplined_f000773.jpg,0,0,0,heavy_monsoon
j17_2026-01-02_noon_3way_heavy_monsoon_disciplined_f000774.jpg,0,0,0,heavy_monsoon
j17_2026-01-02_noon_3way_heavy_monsoon_disciplined_f000775.jpg,0,0,0,heavy_monsoon
j17_2026-01-02_noon_3way_heavy_monsoon_typical_urban_f000880.jpg,0,0,0,heavy_monsoon
j17_2026-01-02_noon_3way_heavy_monsoon_typical_urban_f000881.jpg,0,0,0,heavy_monsoon
j17_2026-01-02_noon_3way_heavy_monsoon_typical_urban_f000882.jpg,1,0,0,heavy_monsoon
j17_2026-01-02_noon_3way_heavy_monsoon_typical_urban_f000883.jpg,1,0,0,heavy_monsoon
j17_2026-01-02_noon_3way_heavy_monsoon_typical_urban_f000884.jpg,1,0,0,heavy_monsoon
j17_2026-01-02_noon_3way_heavy_monsoon_typical_urban_f000885.jpg,1,0,0,heavy_monsoon
j17_2026-01-02_noon_3way_heavy_monsoon_typical_urban_f000886.jpg,1,0,0,heavy_monsoon
j17_2026-01-02_noon_3way_heavy_monsoon_typical_urban_f000887.jpg,1,0,0,heavy_monsoon
j17_2026-01-02_noon_3way_light_rain_aggressive_metro_f000656.jpg,0,0,0,light_rain
j17_2026-01-02_noon_3way_light_rain_aggressive_metro_f000657.jpg,0,0,0,light_rain
j17_2026-01-02_noon_3way_light_rain_aggressive_metro_f000658.jpg,0,0,0,light_rain
j17_2026-01-02_noon_3way_light_rain_aggressive_metro_f000659.jpg,0,0,0,light_rain
